SAMEA3138186,
SAMEA2272644,
SAMD00061099,
SAMD00061098,
SAMD00060910,
SAMD00060913,
SAMD00061104,
SAMEA1705935,
SAMEA1705922,
SAMN02603996,
SAMN02604235,
SAMN02604150,
SAMN02598343,
SAMN00253845,
SAMN02598344,
SAMN02604165,
SAMN02603764,
SAMEA2272282,
SAMN02604217,
SAMN02603619,
SAMN00002240,
SAMN00103091,
SAMN02469935,
SAMN02469934,
SAMN02603905,
SAMN02604166,
SAMN02603643,
SAMEA2272771,
SAMN02603886,
SAMN02603393,
SAMEA2271964,
SAMEA2272552,
SAMN02603722,
SAMEA2272458,
SAMEA2272299,
SAMEA2272502,
SAMN02603909,
SAMN02603524,
SAMN02393830,
SAMN02604264,
SAMN02603420,
SAMN00996491,
SAMN02603110,
SAMN02370325,
SAMN03081531,
SAMN02690781,
SAMN02700075,
SAMN02767598,
SAMN02777327,
SAMN02693431,
SAMN02261725,
SAMN03290990,
SAMN03009478,
SAMN03144721,
SAMN03140315,
SAMN03251897,
SAMN03251898,
SAMN03251894,
SAMN03251899,
SAMN03251895,
SAMN03251896,
SAMN03268345,
SAMEA2743223,
SAMEA3283121,
SAMEA3283122,
SAMEA3283122,
SAMEA3283124,
SAMEA3283125,
SAMN03444404,
SAMN03255442,
SAMN03255445,
SAMN03255444,
SAMN03255449,
SAMN03255451,
SAMN03255453,
SAMN03255454,
SAMN03255458,
SAMN03255460,
SAMN03255466,
SAMN03255469,
SAMN03255482,
SAMN03255487,
SAMN03255441,
SAMN03255446,
SAMN03255448,
SAMN03255459,
SAMN03255463,
SAMN03255464,
SAMN03255474,
SAMN03255479,
SAMN03255481,
SAMN03255486,
SAMN02746692,
SAMN02767179,
SAMN03699895,
SAMN03651231,
SAMN02767090,
SAMN02767311,
SAMN02743812,
SAMN03787328,
SAMN03787340,
SAMN03092273,
SAMN03267711,
SAMN03267304,
SAMN04008874,
SAMN03777299,
SAMN04253017,
SAMN03145755,
SAMEA2479566,
SAMN04325935,
SAMN04325938,
SAMN04325940,
SAMN03835466,
SAMN03765155,
SAMN03835488,
SAMN03835492,
SAMN03835494,
SAMD00039082,
SAMD00044982,
SAMD00020283,
SAMD00020284,
SAMN03996304,
SAMN03387935,
SAMN04254471,
SAMN02953006,
SAMN04166494,
SAMN04166543,
SAMN04166544,
SAMN04166545,
SAMN04166246,
SAMN04166389,
SAMN04590098,
SAMN03742530,
SAMN04219574,
SAMN03955396,
SAMN04219577,
SAMN04219581,
SAMN04939716,
SAMN04939717,
SAMN04966150,
SAMN04966148,
SAMN04966145,
SAMN04966149,
SAMN04964640,
SAMN04966147,
SAMN04046233,
SAMN04966146,
SAMN04243988,
SAMN04263915,
SAMN04276964,
SAMN06062108,
SAMN06200256,
SAMN06238073,
SAMN06046111,
SAMN06046106,
SAMN06277866,
SAMN04497603,
SAMN04497604,
SAMN04497605,
SAMN04497606,
SAMN04497607,
SAMN04497608,
SAMN04497609,
SAMN04497610,
SAMN04497611,
SAMN04497612,
SAMN04497613,
SAMN04497614,
SAMN04497615,
SAMN04497616,
SAMN04497617,
SAMN04497618,
SAMN06480668,
SAMN06480665,
SAMN06677988,
SAMN05860146,
SAMN06251153,
SAMN06274061,
SAMN06274062,
SAMN06274241,
SAMN06274093,
SAMN04903357,
SAMN04995068,
SAMN07212543,
SAMN07212544,
SAMN04571767,
SAMN04571756,
SAMN05520967,
SAMN05292960,
SAMN07629847,
SAMN07629846,
SAMD00043228,
SAMD00034144,
SAMN07312456,
SAMN06703161,
SAMN03763930,
SAMN03763942,
SAMN03763945,
SAMN03763946,
SAMN03763978,
SAMN03763989,
SAMN07310520,
SAMN07310553,
SAMN05864218,
SAMN08024196,
SAMN06702660,
SAMN06702662,
SAMN06130958,
SAMN06689951,
SAMN08634544,
SAMN06578843,
SAMN08663439,
SAMN08668672,
SAMN08663436,
SAMN08663447,
SAMN07684573,
SAMN03763991,
SAMN06480776,
SAMN08963293,
SAMN08963276,
SAMN08963307,
SAMN07291559,
SAMN07291558,
SAMN07291554,
SAMN07291557,
SAMN07291555,
SAMN08999370,
SAMN08999457,
SAMN08580535,
SAMN08580907,
SAMN09254008,
SAMN09253995,
SAMN07291565,
SAMN04901613,
SAMN04901609,
SAMN04901606,
SAMN07291563,
SAMN07291564,
SAMN07291566,
SAMN07291560,
SAMN04901615,
SAMN07291562,
SAMN04901605,
SAMN06560523,
SAMN04901616,
SAMN07291561,
SAMN04901618,
SAMN04901612,
SAMN04901610,
SAMN08717045,
SAMN08717048,
SAMN07291568,
SAMN07291567,
SAMN09668080,
SAMN09668081,
SAMN07372047,
SAMN07407571,
SAMN07340891,
SAMN07340909,
SAMN07340910,
SAMN07340902,
SAMN07340904,
SAMN07340901,
SAMN07340906,
SAMN07340900,
SAMN07340897,
SAMN07340903,
SAMN07340905,
SAMN07340898,
SAMN07340899,
SAMN07340895,
SAMN07340893,
SAMN07340896,
SAMN07340892,
SAMN07340894,
SAMN07340908,
SAMN07340907,
SAMN07340911,
SAMN03799496,
SAMN08997833,
SAMN08997832,
SAMN08997831,
SAMN08997834,
SAMN08997835,
SAMN09847825,
SAMN09906500,
SAMN09906394,
SAMN09724428,
SAMD00134209,
SAMD00134450,
SAMN04497595,
SAMN04497596,
SAMN04497597,
SAMN04497598,
SAMN04497599,
SAMN04497600,
SAMN04497601,
SAMN04497602,
SAMD00064326,
SAMD00043229,
SAMD00089953,
SAMN10059065,
SAMN09635552,
SAMN09635551,
SAMN10163180,
SAMN10458635,
SAMN08663763,
SAMD00148192,
SAMD00148193,
SAMN10578733,
SAMN10040537,
SAMN10578731,
SAMN09220587,
SAMN10659762,
SAMN10659755,
SAMN10779666,
SAMN08369795,
SAMN08369990,
SAMN07411885,
SAMN10868410,
SAMN10868425,
SAMN06830422,
SAMN06830441,
SAMN10779665,
SAMN08470189,
SAMN11179240,
SAMN06830421,
SAMN06830443,
SAMN10977065,
SAMN10061378,
SAMN11260917,
SAMN11229814,
SAMN11166132,
SAMN11174937,
SAMN11360115,
SAMN10039799,
SAMN11096691,
SAMN11096032,
SAMN11096030,
SAMN11096695,
SAMN11096191,
SAMN11080949,
SAMN11476509,
SAMN11823229,
SAMN11823230,
SAMN11823231,
SAMN11605646,
SAMN11605647,
SAMN11611368,
SAMN11823228,
SAMN08969227,
SAMN10739543,
SAMN11928015,
SAMN11056488,
SAMN11056481,
SAMD00172962,
SAMN11823232,
SAMN12353688,
SAMN12353685,
SAMN12353686,
SAMN12359201,
SAMN12359203,
SAMN12359200,
SAMN09714411,
SAMN12046023,
SAMN12476135,
SAMN12476193,
SAMN12500844,
SAMN11157689,
SAMN11157607,
SAMN11157690,
SAMN09882578,
SAMN09882579,
SAMN11431687,
SAMN09882580,
SAMN12325110,
SAMN11611367,
SAMD00180470,
SAMD00180471,
SAMD00180472,
SAMD00180473,
SAMD00180474,
SAMD00180475,
SAMD00180476,
SAMD00180477,
SAMN11056375,
SAMD00164374,
SAMD00164376,
SAMD00164378,
SAMN03763989,
SAMN13011721,
SAMN10250996,
SAMN10251108,
SAMD00071152,
SAMN10374695,
SAMN10374694,
SAMN10374696,
SAMN10374691,
SAMN10374690,
SAMN10374689,
SAMN10374688,
SAMN10374686,
SAMN10374685,
SAMN10374693,
SAMN10374692,
SAMN10374687,
SAMN12721400,
SAMN13698767,
SAMN12302751,
SAMN11175638,
SAMN11175644,
SAMN11175634,
SAMN11175621,
SAMN11175633,
SAMN11175637,
SAMN11175641,
SAMN11175643,
SAMN11175645,
